Record,Score
"[86, 86, 86, 86, 86, 88, 88, 89, 89, 84, 84, 84, 84, 84, 84, 84, 84, 86, 86, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 79, 79, 77, 77, 77, 77, 77, 77, 77, 77, 77, 86, 86, 86, 84, 84, 82, 82, 82, 82, 82, 82, 82, 82, 82, 79, 79, 79, 79, 79, 79, 79, 79, 79]",0.4
"[75, 67, 70, 75, 74, 75, 75, 75, 74, 75, 76, 77, 77, 77, 79, 77, 79, 74, 74, 74, 74, 74, 86, 86, 79, 82, 86, 84, 86, 86, 79, 82, 86, 84, 86, 86, 79, 82, 87, 86, 87, 87, 79, 82, 87, 86, 87, 87, 87, 86, 87, 88, 89, 89, 89, 91, 89, 91, 86, 86, 86, 86, 86, 82]",0.3
"[93, 90, 86, 90, 86, 81, 86, 81, 78, 81, 78, 74, 78, 74, 69, 74, 69, 66, 67, 67, 67, 67, 67, 95, 91, 86, 91, 86, 83, 86, 83, 79, 83, 79, 74, 79, 74, 71, 74, 71, 67, 69, 69, 69, 69, 69, 93, 90, 86, 90, 86, 81, 86, 81, 78, 81, 78, 74, 78, 74, 69, 74, 69, 66]",0.9
"[57, 57, 61, 61, 61, 61, 49, 49, 54, 54, 56, 56, 61, 61, 61, 61, 49, 49, 53, 53, 56, 54, 54, 56, 57, 57, 61, 61, 57, 57, 61, 61, 66, 66, 61, 61, 66, 66, 69, 69, 73, 73, 73, 61, 61, 66, 66, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 61, 61, 68, 68, 71]",0.5
"[69, 60, 64, 69, 71, 71, 71, 72, 72, 75, 74, 72, 69, 69, 60, 64, 64, 69, 71, 71, 62, 72, 62, 62, 71, 71, 72, 74, 76, 76, 76, 67, 77, 76, 74, 74, 74, 65, 76, 76, 74, 72, 72, 72, 72, 71, 64, 76, 76, 88, 75, 76, 75, 74, 72, 69, 60, 71, 71, 64, 68, 71, 72, 72]",0.5
"[62, 62, 69, 67, 66, 66, 64, 64, 62, 62, 62, 62, 62, 62, 62, 62, 61, 61, 61, 61, 61, 61, 61, 61, 66, 66, 67, 67, 66, 66, 64, 64, 62, 62, 64, 64, 62, 62, 61, 61, 59, 59, 59, 59, 71, 71, 71, 71, 69, 69, 71, 71, 66, 66, 66, 66, 67, 67, 67, 67, 67, 67, 67, 67]",0.6
"[77, 79, 91, 89, 91, 89, 91, 91, 91, 91, 91, 91, 91, 79, 79, 79, 79, 72, 74, 75, 79, 89, 91, 94, 89, 89, 89, 89, 89, 91, 94, 91, 82, 82, 82, 79, 82, 79, 82, 89, 87, 87, 87, 87, 75, 77, 79, 84, 84, 84, 84, 91, 89, 91, 89, 86, 86, 86, 86, 89, 87, 86, 87, 84]",0.5
"[77, 77, 77, 77, 77, 77, 77, 77, 75, 75, 75, 75, 75, 75, 66, 66, 75, 75, 73, 73, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 78, 78, 78, 78, 78, 78, 70, 70, 78, 78, 80, 80, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 75, 75, 75, 75, 75, 75, 66, 66]",0.4
"[67, 75, 67, 74, 67, 72, 67, 74, 67, 71, 72, 74, 67, 71, 74, 75, 67, 74, 67, 72, 67, 79, 67, 75, 67, 72, 74, 75, 67, 72, 75, 77, 67, 75, 67, 74, 67, 72, 67, 79, 67, 71, 67, 75, 67, 74, 67, 72, 67, 79, 67, 72, 72, 72, 72, 87, 79, 84, 86, 87, 79, 84, 87, 89]",0.8
"[81, 82, 82, 83, 73, 73, 71, 69, 71, 71, 73, 78, 78, 80, 80, 81, 81, 80, 80, 78, 76, 76, 74, 74, 73, 71, 73, 76, 69, 73, 73, 71, 74, 68, 71, 69, 85, 86, 86, 81, 81, 81, 80, 77, 73, 73, 78, 77, 81, 81, 83, 85, 84, 85, 84, 86, 85, 86, 85, 86, 85, 86, 86, 81]",0.8
"[79, 80, 81, 82, 81, 80, 81, 80, 79, 78, 77, 78, 79, 80, 81, 83, 84, 86, 88, 89, 88, 87, 88, 87, 86, 85, 84, 89, 88, 87, 88, 87, 86, 85, 85, 86, 87, 87, 86, 85, 84, 89, 88, 87, 88, 87, 86, 85, 85, 86, 87, 80, 81, 82, 83, 84, 85, 86, 85, 84, 83, 84, 83, 82]",0.8
"[76, 60, 64, 67, 72, 76, 79, 84, 84, 84, 84, 84, 84, 84, 84, 83, 83, 83, 83, 83, 83, 78, 78, 81, 81, 81, 81, 79, 79, 79, 79, 77, 77, 74, 74, 72, 76, 76, 76, 76, 74, 74, 74, 76, 74, 74, 74, 74, 74, 74, 74, 74, 72, 72, 72, 74, 74, 74, 74, 74, 74, 74, 74, 74]",0.6
"[89, 89, 89, 89, 89, 89, 89, 89, 89, 89, 91, 91, 89, 89, 87, 87, 92, 92, 96, 96, 96, 96, 101, 101, 101, 101, 99, 99, 97, 97, 91, 91, 91, 91, 92, 92, 92, 92, 92, 92, 92, 92, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80, 80]",0.3
