Record,Score
"[63, 63, 56, 56, 61, 61, 63, 63, 57, 57, 61, 61, 63, 56, 56, 63, 61, 61, 64, 64, 56, 56, 61, 61, 64, 64, 54, 54, 60, 60, 63, 63, 54, 54, 60, 60, 63, 61, 61, 61, 61, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 52, 52, 37, 37, 37, 37, 37, 37, 37, 37, 37]",0.8
"[72, 72, 71, 71, 72, 74, 76, 76, 76, 67, 74, 74, 74, 65, 76, 74, 72, 72, 72, 64, 71, 71, 75, 76, 76, 75, 75, 76, 75, 74, 72, 69, 69, 69, 60, 64, 69, 71, 71, 64, 68, 68, 71, 72, 72, 64, 64, 76, 76, 71, 74, 74, 72, 69, 69, 69, 60, 64, 69, 71, 71, 62, 72, 62]",0.7
"[76, 76, 76, 76, 76, 76, 74, 74, 74, 74, 74, 74, 74, 74, 73, 73, 73, 73, 73, 73, 73, 73, 71, 71, 71, 71, 71, 71, 71, 71, 69, 69, 69, 69, 69, 69, 69, 69, 71, 71, 71, 71, 71, 71, 71, 71, 73, 73, 73, 73, 73, 73, 73, 73, 78, 78, 78, 78, 78, 78, 78, 78, 76, 76]",0.3
"[72, 74, 75, 79, 84, 84, 84, 84, 72, 74, 75, 79, 84, 84, 84, 84, 89, 87, 86, 87, 84, 84, 84, 84, 84, 84, 84, 79, 82, 84, 91, 89, 89, 89, 91, 89, 91, 89, 87, 89, 89, 89, 89, 89, 91, 94, 91, 82, 82, 82, 79, 82, 79, 82, 89, 87, 87, 87, 87, 72, 74, 75, 79, 84]",0.8
"[84, 84, 82, 82, 84, 84, 86, 86, 82, 82, 82, 82, 81, 81, 81, 81, 86, 86, 86, 86, 86, 86, 87, 87, 86, 86, 87, 87, 86, 86, 84, 84, 82, 82, 86, 86, 86, 86, 86, 86, 86, 86, 81, 82, 81, 81, 77, 77, 87, 87, 86, 86, 84, 84, 86, 86, 86, 86, 86, 86, 87, 87, 87, 87]",0.6
"[83, 83, 83, 83, 78, 78, 81, 81, 83, 83, 83, 83, 78, 78, 81, 81, 83, 83, 83, 83, 81, 81, 78, 78, 76, 76, 76, 74, 76, 76, 78, 78, 74, 74, 74, 74, 71, 71, 74, 74, 76, 76, 76, 76, 76, 76, 78, 78, 81, 81, 78, 78, 76, 76, 74, 74, 76, 76, 76, 76, 76, 76, 74, 74]",0.9
"[75, 75, 65, 65, 65, 65, 65, 65, 65, 65, 77, 77, 77, 77, 77, 77, 77, 77, 77, 77, 63, 63, 63, 63, 82, 82, 82, 82, 82, 82, 82, 82, 70, 70, 70, 70, 70, 70, 70, 70, 87, 87, 87, 87, 87, 87, 63, 63, 63, 63, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91]",0.2
"[74, 74, 74, 74, 50, 50, 50, 50, 50, 50, 50, 50, 50, 79, 79, 79, 79, 79, 79, 79, 79, 40, 40, 40, 40, 40, 40, 40, 40, 78, 78, 78, 78, 78, 78, 52, 52, 52, 74, 74, 52, 52, 52, 74, 74, 45, 45, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 74, 74, 74, 74, 74, 50, 50]",0.2
"[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 31, 31, 31, 31, 31, 31, 31, 31, 52, 52, 57, 57, 59, 59, 56, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81]",0.0
"[70, 70, 70, 70, 65, 65, 65, 65, 65, 65, 65, 65, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 51, 51, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 58, 58, 58, 58, 58, 58, 58, 58, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51]",0.1
"[36, 58, 58, 58, 58, 58, 58, 55, 55, 55, 55, 70, 70, 31, 31, 36, 36, 63, 63, 63, 63, 63, 63, 70, 70, 70, 70, 70, 70, 70, 70, 67, 67, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 63, 58, 58, 58, 58, 58, 58, 58, 58, 36, 36, 55, 55, 55, 55, 55, 55, 55]",0.1
"[80, 80, 80, 85, 85, 74, 74, 81, 81, 83, 83, 85, 85, 74, 74, 83, 83, 85, 85, 74, 74, 74, 74, 83, 83, 81, 81, 81, 81, 80, 80, 81, 81, 81, 81, 80, 80, 80, 80, 80, 80, 78, 80, 80, 80, 80, 78, 78, 78, 78, 73, 73, 71, 71, 73, 71, 69, 69, 95, 95, 95, 95, 95, 95]",0.4
"[48, 48, 48, 48, 48, 48, 50, 50, 50, 50, 50, 50, 50, 50, 41, 41, 48, 48, 48, 48, 48, 48, 48, 48, 65, 65, 65, 65, 65, 65, 50, 50, 50, 50, 50, 50, 50, 50, 41, 41, 48, 48, 48, 48, 48, 48, 48, 48, 33, 33, 50, 50, 50, 50, 50, 50, 50, 50, 65, 65, 65, 65, 69, 69]",0.1
"[36, 36, 36, 81, 81, 81, 81, 36, 36, 35, 35, 78, 78, 78, 78, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 35, 35, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 35, 35, 78, 78, 78, 78, 35, 35, 35, 35, 74]",0.1
"[37, 37, 83, 83, 32, 32, 32, 32, 32, 32, 32, 32, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 32, 32, 32, 32, 32, 32, 72, 72, 72, 44, 44, 44, 44, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72]",0.05
"[62, 62, 62, 62, 62, 62, 74, 74, 74, 74, 72, 72, 72, 72, 72, 72, 76, 76, 77, 77, 69, 69, 67, 67, 65, 65, 65, 65, 65, 65, 69, 69, 67, 67, 67, 67, 67, 67, 69, 69, 64, 64, 65, 65, 65, 65, 65, 65, 65, 65, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72]",0.4
"[75, 75, 75, 75, 75, 75, 75, 63, 63, 75, 75, 77, 77, 79, 79, 80, 80, 44, 44, 31, 31, 31, 31, 44, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 44, 44, 44, 29, 29, 29, 29, 44, 70, 70, 44, 44, 44, 44, 44, 44, 34, 34, 34, 34, 44, 44, 44, 36, 36, 36, 36, 36, 36, 36]",0.2
"[73, 73, 75, 75, 73, 73, 73, 73, 75, 75, 75, 75, 75, 75, 75, 75, 77, 77, 78, 78, 77, 77, 73, 73, 73, 73, 68, 68, 75, 75, 73, 73, 73, 73, 75, 75, 75, 75, 75, 75, 73, 73, 73, 73, 72, 72, 73, 73, 73, 73, 73, 73, 73, 73, 75, 75, 73, 73, 68, 73, 68, 73, 73, 75]",0.6
